texts,labels
"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult ",0
"assume he had a bad run in the market or a costly divorce , because there is no earthly reason other than money why this distinguished actor would stoop so low . ",0
"engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing ",1
"`` the dangerous lives of altar boys '' has flaws , but it also has humor and heart and very talented young actors ",1
"we started to wonder if ... some unpaid intern had just typed ` chris rock , ' ` anthony hopkins ' and ` terrorists ' into some univac-like script machine . ",0
"presents this utterly ridiculous shaggy dog story as one of the most creative , energetic and original comedies to hit the screen in years ",1
"'s immensely ambitious , different than anything that 's been done before and amazingly successful in terms of what it 's trying to do ",1
"elling '' manages to do all three quite well , making it one of the year 's most enjoyable releases ",1
"in the real world , an actor this uncharismatically beautiful would have a résumé loaded with credits like `` girl in bar # 3 . '' ",0
"brash , intelligent and erotically perplexing , haneke 's portrait of an upper class austrian society and the suppression of its tucked away demons ",1
"so fiendishly cunning that even the most jaded cinema audiences will leave the auditorium feeling dizzy , confused , and totally disorientated . ",1
"hold dear about cinema , only now it 's begun to split up so that it can do even more damage ",0
"post-september 11 , `` the sum of all fears '' seems more tacky and reprehensible , manipulating our collective fear without bestowing the subject with the intelligence or sincerity it unequivocally deserves . ",0
"the film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based ` drama , ' but the emphasis on the latter leaves blue crush waterlogged . ",0
"ca n't accuse kung pow for misfiring , since it is exactly what it wants to be : an atrociously , mind-numbingly , indescribably bad movie . ",0
"wonder , hope and magic can never escape the heart of the boy when the right movie comes along , especially if it begins with the name of star wars ",1
"shows crushingly little curiosity about , or is ill-equipped to examine , the interior lives of the characters in his film , much less incorporate them into his narrative . ",0
"want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness ",0
"the movie runs a good race , one that will have you at the edge of your seat for long stretches . ' ",1
"to note that this film , like the similarly ill-timed antitrust , is easily as bad at a fraction the budget ",0
will make you think twice about what might be going on inside each trailer park you drive past -- even if it chiefly inspires you to drive a little faster . ,1
"a genuinely funny ensemble comedy that also asks its audience -- in a heartwarming , nonjudgmental kind of way -- to consider what we value in our daily lives ",1
i encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale ,1
"the whole thing feels like a ruse , a tactic to cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas . ",0
"must go to grant , who has n't lost a bit of the dry humor that first made audiences on both sides of the atlantic love him ",1
"'s ) quite a bit of heart , as you would expect from the directors of the little mermaid and aladdin ",1
"i never thought i 'd say this , but i 'd much rather watch teens poking their genitals into fruit pies ! ",0
"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma . ",0
"'s a feel-bad ending for a depressing story that throws a bunch of hot-button items in the viewer 's face and asks to be seen as hip , winking social commentary . ",0
something that is so meditative and lyrical about babak payami 's boldly quirky iranian drama secret ballot ... a charming and evoking little ditty that manages to show the gentle and humane side of middle eastern world politics ,1
"transcends its agenda to deliver awe-inspiring , at times sublime , visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring-do puts the x into the games ",1
combine the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural -- why did n't hollywood think of this sooner ? ,1
"watching war photographer , you come to believe that nachtwey hates the wars he shows and empathizes with the victims he reveals . ",1
"yes , i suppose it 's lovely that cal works out his issues with his dad and comes to terms with his picture-perfect life -- but world traveler gave me no reason to care , so ",0
an inelegant combination of two unrelated shorts that falls far short of the director 's previous work in terms of both thematic content and narrative strength . ,0
purely enjoyable that you might not even notice it 's a fairly straightforward remake of hollywood comedies such as father of the bride . ,1
"is grand-scale moviemaking for a larger-than-life figure , an artist who has been awarded mythic status in contemporary culture . ",1
mctiernan 's remake may be lighter on its feet -- the sober-minded original was as graceful as a tap-dancing rhino -- but it is just as boring and as obvious ,0
stylized swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters . ,1
"i was feeling this movie until it veered off too far into the exxon zone , and left me behind at the station looking for a return ticket to realism . ",0
( t ) he film is never sure to make a clear point -- even if it seeks to rely on an ambiguous presentation . ,0
"until it goes off the rails in its final 10 or 15 minutes , wendigo , larry fessenden 's spooky new thriller , is a refreshingly smart and newfangled variation on several themes derived from far less sophisticated and knowing horror films . ",1
fessenden 's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy . ,1
"thanks in part to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor ",1
"in truth , it has all the heart of a porno flick ( but none of the sheer lust ) . ",0
"though it lacks the utter authority of a genre gem , there 's a certain robustness to this engaging mix of love and bloodletting . ",1
"like a living-room war of the worlds , gaining most of its unsettling force from the suggested and the unknown ",1
"high drama , disney-style - a wing and a prayer and a hunky has-been pursuing his castle in the sky ",1
"cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas ",0
"this picture is murder by numbers , and as easy to be bored by as your abc 's , despite a few whopping shootouts . ",0
to say that this vapid vehicle is downright doltish and uneventful is just as obvious as telling a country skunk that he has severe body odor . ,0
"is the sort of low-grade dreck that usually goes straight to video -- with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography , complete with visible boom mikes . ",0
"dong never pushes for insights beyond the superficial tensions of the dynamic he 's dissecting , and the film settles too easily along the contours of expectation . ",0
"under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . ",1
's a bad sign when you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over ,0
"that begins as a seven rip-off , only to switch to a mix of the shining , the thing , and any naked teenagers horror flick from the 1980s ",1
sayles has an eye for the ways people of different ethnicities talk to and about others outside the group . ,1
"like smoke signals , the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama ",1
"like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form ",0
"reminds us how realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` analyze this ' ( 1999 ) and ` analyze that , ' promised ( or threatened ) for later this year ",1
's lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay ,0
"eyre , a native american raised by white parents , manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ",1
"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary . ",0
"a time machine , a journey back to your childhood , when cares melted away in the dark theater , and films had the ability to mesmerize , astonish and entertain ",1
"a thoughtful movie , a movie that is concerned with souls and risk and schemes and the consequences of one 's actions . ",1
's so downbeat and nearly humorless that it becomes a chore to sit through -- despite some first-rate performances by its lead ,0
"that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm ",1
"ladles on the local flavor with a hugely enjoyable film about changing times , clashing cultures and the pleasures of a well-made pizza ",1
there is a strong directorial stamp on every frame of this stylish film that is able to visualize schizophrenia but is still confident enough to step back and look at the sick character with a sane eye . ,1
"the weird thing about the santa clause 2 , purportedly a children 's movie , is that there is nothing in it to engage children emotionally . ",0
"a tactic to cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas ",0
"this is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy . ",0
"jacquot has filmed the opera exactly as the libretto directs , ideally capturing the opera 's drama and lyricism . ",1
"content merely to lionize its title character and exploit his anger - all for easy sanctimony , formulaic thrills and a ham-fisted sermon on the need for national health insurance . ",0
"the world 's political situation seems little different , and ( director phillip ) noyce brings out the allegory with remarkable skill . ",1
skip this turd and pick your nose instead because you 're sure to get more out of the latter experience . ,0
"( soderbergh ) tends to place most of the psychological and philosophical material in italics rather than trust an audience 's intelligence , and he creates an overall sense of brusqueness ",0
"the importance of being earnest , so thick with wit it plays like a reading from bartlett 's familiar quotations ",1
"is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama ",0
"goldmember has none of the visual wit of the previous pictures , and it looks as though jay roach directed the film from the back of a taxicab ",0
"is enriched by an imaginatively mixed cast of antic spirits , headed by christopher plummer as the subtlest and most complexly evil uncle ralph i 've ever seen in the many film and stage adaptations of the work ",1
you could easily mistake it for a sketchy work-in-progress that was inexplicably rushed to the megaplexes before its time . ,0
"now as a former gong show addict , i 'll admit it , my only complaint is that we did n't get more re-creations of all those famous moments from the show . ",1
david caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen . ,1
"while somewhat less than it might have been , the film is a good one , and you 've got to hand it to director george clooney for biting off such a big job the first time out ",1
you get the impression that writer and director burr steers knows the territory ... but his sense of humor has yet to lose the smug self-satisfaction usually associated with the better private schools . ,0
"the story itself it mostly told through on-camera interviews with several survivors , whose riveting memories are rendered with such clarity that it 's as if it all happened only yesterday . ",1
"not all of the stories work and the ones that do are thin and scattered , but the film works well enough to make it worth watching . ",1
"in the end , the film feels homogenized and a bit contrived , as if we 're looking back at a tattered and ugly past with rose-tinted glasses . ",0
"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space . ",1
"by the time it 's done with us , mira nair 's new movie has its audience giddy with the delight of discovery , of having been immersed in a foreign culture only to find that human nature is pretty much the same all over ",1
"nurtures the multi-layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be embraced ",1
"shoot themselves in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain ",0
"green ruins every single scene he 's in , and the film , while it 's not completely wreaked , is seriously compromised by that . ",0
"just about more stately than any contemporary movie this year ... a true study , a film with a questioning heart ",1
"conveys the passion , creativity , and fearlessness of one of mexico 's most colorful and controversial artists -- a captivating drama that will speak to the nonconformist in us all ",1
like it hot on the hardwood proves once again that a man in drag is not in and of himself funny . ,0
"'s so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget jones 's diary . ",0
"this nicholas nickleby finds itself in reduced circumstances -- and , also like its hero , it remains brightly optimistic , coming through in the end ",1
"to slovenly life in this self-deprecating , biting and witty feature written by charlie kaufman and his twin brother , donald , and directed by spike jonze ",1
", besides its terrific performances , is fontaine 's willingness to wander into the dark areas of parent-child relationships without flinching . ",1
"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0
"we started to wonder if ... some unpaid intern had just typed ` chris rock , ' ` anthony hopkins ' and ` terrorists ' into some univac-like script machine ",0
"one feels the dimming of a certain ambition , but in its place a sweetness , clarity and emotional openness that recalls the classics of early italian neorealism . ",1
"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love 's power to help people endure almost unimaginable horror . ",1
", director roger kumble seems to have dumped a whole lot of plot in favor of ... outrageous gags . ",0
"it 's tommy 's job to clean the peep booths surrounding her , and after viewing this one , you 'll feel like mopping up , too ",0
with the director taking a hands-off approach when he should have shaped the story to show us why it 's compelling . ,0
threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans . ,0
"does n't quite do justice to the awfulness of the movie , for that comes through all too painfully in the execution . ",0
"while this one gets off with a good natured warning , future lizard endeavors will need to adhere more closely to the laws of laughter ",0
"birthday girl lucks out with chaplin and kidman , who are capable of anteing up some movie star charisma when they need it to sell us on this twisted love story , but who can also negotiate the movie 's darker turns . ",1
"unlike trey parker , sandler does n't understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself . ",0
"a walk to remember is an inspirational love story , capturing the innocence and idealism of that first encounter . ",1
"could have turned this into an argentine retread of `` iris '' or `` american beauty , '' but instead pulls a little from each film and creates something more beautiful than either of those films . ",1
boyd 's screenplay ( co-written with guardian hack nick davies ) has a florid turn of phrase that owes more to guy ritchie than the bard of avon . ,0
"there 's a scientific law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces . ",0
", they are pitted against shimmering cinematography that lends the setting the ethereal beauty of an asian landscape painting . ",1
but it makes for one of the most purely enjoyable and satisfying evenings at the movies i 've had in a while . ,1
"it 's hard to imagine anybody ever being `` in the mood '' to view a movie as harrowing and painful as the grey zone , ",0
is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love ,1
"it 's a hellish , numbing experience to watch , and it does n't offer any insights that have n't been thoroughly debated in the media already , back in the dahmer heyday of the mid - '90s ",0
two signs that m. night shyamalan 's debut feature sucked up all he has to give to the mystic genres of cinema ,0
"even on its own ludicrous terms , the sum of all fears generates little narrative momentum , and invites unflattering comparisons to other installments in the ryan series . ",0
neil burger here succeeded in ... making the mystery of four decades back the springboard for a more immediate mystery in the present ,1
"it is different from others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches ; ",1
"to catch the pitch of his poetics , savor the pleasure of his sounds and images , and ponder the historical , philosophical , and ethical issues that intersect with them ",1
"everybody , wan na watch a movie in which a guy dressed as a children 's party clown gets violently gang-raped ? ",0
"the only problem is that , by the end , no one in the audience or the film seems to really care . ",0
"queen of the damned as you might have guessed , makes sorry use of aaliyah in her one and only starring role -- she does little here but point at things that explode into flame . ",0
why paul thomas anderson ever had the inclination to make the most sincere and artful movie in which adam sandler will probably ever appear ,1
", however , having sucked dry the undead action flick formula , blade ii mutates into a gross-out monster movie with effects that are more silly than scary . ",0
"'s a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one ",1
"aided by a cast that seems to include every top-notch british actor who did not appear in gosford park ( as well as one , ms. mirren , who did ) ",1
"is enriched by an imaginatively mixed cast of antic spirits , headed by christopher plummer as the subtlest and most complexly evil uncle ralph i 've ever seen in the many film and stage adaptations of the work . ",1
"of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form ",0
"4ever has the same sledgehammer appeal as pokemon videos , but it breathes more on the big screen and induces headaches more slowly . ",1
", haynes ( like sirk , but differently ) has transformed the rhetoric of hollywood melodrama into something provocative , rich , and strange . ",1
"( h ) ad i suffered and bled on the hard ground of ia drang , i 'd want something a bit more complex than we were soldiers to be remembered by . ",0
` the château is never quite able to overcome the cultural moat surrounding its ludicrous and contrived plot . ' ,0
"quitting , however , manages just to be depressing , as the lead actor phones in his autobiographical performance . ",0
"the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders , desperate for work and food ",1
"so tedious it makes the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian ",0
finally have the worthy successor to a better tomorrow and the killer which they have been patiently waiting for . ,1
", lawrence unleashes his trademark misogyny -- er , comedy -- like a human volcano or an overflowing septic tank , ",0
me without you has a bracing truth that 's refreshing after the phoniness of female-bonding pictures like divine secrets of the ya-ya sisterhood . ,1
"that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue ",0
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick ",1
"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout ... by which time it 's impossible to care who wins . ",0
"with a tighter editorial process and firmer direction this material could work , especially since the actresses in the lead roles are all more than competent , but as is , personal velocity seems to be idling in neutral . ",0
"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people . ",1
"while american adobo has its heart ( and its palate ) in the right place , its brain is a little scattered -- ditsy , even . ",0
"how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights ",1
"transported into the life of wladyslaw szpilman , who is not only a pianist , but a good human being ",1
"ten little indians meets friday the 13th by way of clean and sober , filmed on the set of carpenter 's the thing and loaded with actors you 're most likely to find on the next inevitable incarnation of the love boat ",0
"fessenden continues to do interesting work , and it would be nice to see what he could make with a decent budget . ",1
"for independence , complete with loads of cgi and bushels of violence , but not a drop of human blood ",0
"like mike is n't going to make box office money that makes michael jordan jealous , but it has some cute moments , funny scenes , and hits the target audience ( young bow wow fans ) - with nothing but net . ",1
"nary an original idea ( or role , or edit , or score , or anything , really ) in sight ",0
throws away the goodwill the first half of his movie generates by orchestrating a finale that is impenetrable and dull ,0
what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ,0
there has been a string of ensemble cast romances recently ... but peter mattei 's love in the time of money sets itself apart by forming a chain of relationships that come full circle to end on a positive ( if tragic ) note . ,1
"a colorful , joyous celebration of life ; a tapestry woven of romance , dancing , singing , and unforgettable characters . ",1
elling and kjell bjarne become symbolic characters whose actions are supposed to relate something about the naïf 's encounter with the world . ,0
"lilo & stitch '' reach the emotion or timelessness of disney 's great past , or even that of more recent successes such as `` mulan '' or `` tarzan ",1
a backhanded ode to female camaraderie penned by a man who has little clue about either the nature of women or of friendship . ,0
the superior plotline is n't quite enough to drag along the dead ( water ) weight of the other . ,0
a spooky yarn of demonic doings on the high seas that works better the less the brain is engaged . ,0
"the new insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities . ",1
"feels like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form . ",0
a sometimes incisive and sensitive portrait that is undercut by its awkward structure and a final veering toward melodrama . ,0
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... ,0
"their lofty perch , that finally makes sex with strangers , which opens today in the new york metropolitan area , so distasteful ",0
raimi and his team could n't have done any better in bringing the story of spider-man to the big screen . ,1
strained caper movies that 's hardly any fun to watch and begins to vaporize from your memory minutes after it ends ,0
to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a hollywood product ,0
"offers an aids subtext , skims over the realities of gay sex , and presents yet another tired old vision of the gay community as an all-inclusive world where uptight , middle class bores like antonia can feel good about themselves ",0
"one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original ",0
"heartwarming here relies less on forced air than on petter næss ' delicate , clever direction ... and a wonderful , imaginative script by axel hellstenius . ",1
"writer/director walter hill is in his hypermasculine element here , once again able to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable . ",1
"unfunny and lacking any sense of commitment to or affection for its characters , the reginald hudlin comedy relies on toilet humor , ethnic slurs . ",0
layer of action man cliché atop wooden dialogue and a shifting tone that falls far short of the peculiarly moral amorality of ( woo 's ) best work ,0
"even though it 's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth . ",1
"weirdly , broomfield has compelling new material but he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car . ",0
it works its magic with such exuberance and passion that the film 's length becomes a part of its fun . ,1
"a positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a shakespearean tragedy or a juicy soap opera ",1
"still rapturous after all these years , cinema paradiso stands as one of the great films about movie love . ",1
"demonstrates that werner herzog can still leave us with a sense of wonder at the diverse , marvelously twisted shapes history has taken ",1
"a time machine , a journey back to your childhood , when cares melted away in the dark theater , ",1
"few films have captured the chaos of an urban conflagration with such fury , and audience members will leave feeling as shaken as nesbitt 's cooper looks when the bullets stop flying ",1
"olivier assayas ' elegantly appointed period drama seems , at times , padded with incident in the way of a too-conscientious adaptation ",0
"while parker and co-writer catherine di napoli are faithful to melville 's plotline , they and a fully engaged supporting cast ... have made the old boy 's characters more quick-witted than any english lit major would have thought possible . ",1
( haneke ) steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology . ,1
"captures all the longing , anguish and ache , the confusing sexual messages and the wish to be a part of that elusive adult world ",1
"light the candles , bring out the cake and do n't fret about the calories because there 's precious little substance in birthday girl -- ",0
"below casts its spooky net out into the atlantic ocean and spits it back , grizzled and charred , somewhere northwest of the bermuda triangle . ",1
"it 's a treat -- a delightful , witty , improbable romantic comedy with a zippy jazzy score ... grant and bullock make it look as though they are having so much fun ",1
"not only does the thoroughly formulaic film represent totally exemplify middle-of-the-road mainstream , it also represents glossy hollywood at its laziest . ",0
brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history ,1
attempts to mine laughs from a genre -- the gangster/crime comedy -- that wore out its welcome with audiences several years ago ,0
"ca n't think of a thing to do with these characters except have them run through dark tunnels , fight off various anonymous attackers , and evade elaborate surveillance technologies ",0
"although god is great addresses interesting matters of identity and heritage , it 's hard to shake the feeling that it was intended to be a different kind of film . ",0
"morrissette has performed a difficult task indeed - he 's taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating . ",0
"that rare creature -- an action hero with table manners , and one who proves that elegance is more than tattoo deep ",1
it 's not so much a movie as a joint promotion for the national basketball association and teenaged rap and adolescent poster-boy lil ' bow wow . ,0
"for those of us who respond more strongly to storytelling than computer-generated effects , the new star wars installment has n't escaped the rut dug by the last one . ",0
're content with a clever pseudo-bio that manages to have a good time as it doles out pieces of the famous director 's life ,1
there 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers . ,1
"relies less on forced air than on petter næss ' delicate , clever direction ... and a wonderful , imaginative script by axel hellstenius . ",1
"in painting an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people , the movie exalts the marxian dream of honest working folk , with little to show for their labor , living harmoniously , joined in song . ",1
the hot topics of the plot are relegated to the background -- a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty . ,1
"from fighting games , wire fu , horror movies , mystery , james bond , wrestling , sci-fi and anime into one big bloody stew ",1
"seemingly eternal running time to pique your interest , your imagination , your empathy or anything , really , save your disgust and your indifference ",0
"the result puts a human face on derrida , and makes one of the great minds of our times interesting and accessible to people who normally could n't care less . ",1
's fitting that a movie as artificial and soulless as the country bears owes its genesis to an animatronic display at disneyland ,0
"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough . ",1
"solaris is rigid and evasive in ways that soderbergh 's best films , `` erin brockovich , '' `` out of sight '' and `` ocean 's eleven , '' never were . ",1
"a clash between the artificial structure of the story and the more contemporary , naturalistic tone of the film ... ",0
"though filmed partly in canada , paid in full has clever ways of capturing inner-city life during the reagan years . ",1
"this movie may not have the highest production values you 've ever seen , but it 's the work of an artist , one whose view of america , history and the awkwardness of human life is generous and deep . ",1
looks more like a travel-agency video targeted at people who like to ride bikes topless and roll in the mud than a worthwhile glimpse of independent-community guiding lights . ,0
"it has fun with the quirks of family life , but it also treats the subject with fondness and respect ",1
"makes the same mistake as the music industry it criticizes , becoming so slick and watered-down it almost loses what made you love it ",0
"it 's a film that 's destined to win a wide summer audience through word-of-mouth reviews and , not far down the line , to find a place among the studio 's animated classics . ",1
"parochial , accessible to a chosen few , standoffish to everyone else , and smugly suggests a superior moral tone is more important than filmmaking skill ",0
"few films have captured the chaos of an urban conflagration with such fury , and audience members will leave feeling as shaken as nesbitt 's cooper looks when the bullets stop flying . ",1
provides an accessible introduction as well as some intelligent observations on the success of bollywood in the western world . ,1
alternates between deadpan comedy and heartbreaking loneliness and is n't afraid to provoke introspection in both its characters and its audience . ,1
it 's rare that a movie can be as intelligent as this one is in every regard except its storyline ; everything that 's good is ultimately scuttled by a plot that 's just too boring and obvious ,0
"the profoundly devastating events of one year ago and the slow , painful healing process that has followed in their wake ",0
downplays the raunch in favor of gags that rely on the strength of their own cleverness as opposed to the extent of their outrageousness ,1
wastes its time on mood rather than riding with the inherent absurdity of ganesh 's rise up the social ladder . ,0
"the hard-to-predict and absolutely essential chemistry between the down-to-earth bullock and the nonchalant grant proves to be sensational , and everything meshes in this elegant entertainment . ",1
has a spark of life to it -- more than you can say for plenty of movies that flow through the hollywood pipeline without a hitch ,1
"must report that the children of varying ages in my audience never coughed , fidgeted or romped up and down the aisles for bathroom breaks ",1
"a highly spirited , imaginative kid 's movie that broaches neo-augustinian theology : is god stuck in heaven because he 's afraid of his best-known creation ? ",1
photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen ,1
"the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process . ",1
", he does all of this , and more , while remaining one of the most savagely hilarious social critics this side of jonathan swift . ",1
fred schepisi 's tale of four englishmen facing the prospect of their own mortality views youthful affluence not as a lost ideal but a starting point . ,1
"you 've already seen city by the sea under a variety of titles , but it 's worth yet another visit . ",1
trying to make head or tail of the story in the hip-hop indie snipes is enough to give you brain strain -- and the pay-off is negligible ,0
"just too bad the screenwriters eventually shoot themselves in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain ",0
"ca n't accuse kung pow for misfiring , since it is exactly what it wants to be : an atrociously , mind-numbingly , indescribably bad movie ",0
"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch ",1
"for casting , often resurrecting performers who rarely work in movies now ... and drawing flavorful performances from bland actors ",1
"i never thought i 'd say this , but i 'd much rather watch teens poking their genitals into fruit pies ",0
at once a testament to the divine calling of education and a demonstration of the painstaking process of imparting knowledge . ,1
"fontaine masterfully creates a portrait of two strong men in conflict , inextricably entwined through family history , each seeing himself in the other , neither liking what he sees . ",1
